,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
149,port hedland,40,AU,1603730314,83,-20.32,118.57,23.0,4.6
150,matara,1,LK,1603730315,86,5.95,80.54,25.77,2.95
151,escarcega,100,MX,1603730315,70,18.61,-90.75,28.85,2.4
152,salmas,20,IR,1603730315,66,38.2,44.77,10.0,2.1
153,ancud,90,CL,1603729833,93,-41.87,-73.82,10.56,7.7
154,isangel,4,VU,1603729753,78,-19.55,169.27,22.39,3.97
155,hobyo,1,SO,1603730316,79,5.35,48.53,26.55,4.06
156,port augusta,90,AU,1603729845,82,-32.5,137.77,14.0,3.1
157,shengjin,0,AL,1603730317,82,41.81,19.59,16.0,2.1
158,lagoa,0,PT,1603729836,87,39.05,-27.98,19.61,11.01
159,lagos,54,NG,1603729963,81,6.58,3.75,27.14,2.61
160,saint-augustin,85,CA,1603729856,60,51.23,-58.65,3.65,5.38
161,laibin,82,CN,1603730318,76,23.7,109.27,21.05,3.0
162,kutum,85,SD,1603729821,18,14.2,24.67,26.61,4.38
163,mbeya,89,TZ,1603730319,51,-8.9,33.45,20.4,2.83
164,leningradskiy,100,RU,1603729741,98,69.38,178.42,-3.6,2.63
165,faanui,100,PF,1603729753,76,-16.48,-151.75,26.4,4.52
166,ribeira grande,20,PT,1603729820,78,38.52,-28.7,22.0,7.2
167,innisfail,100,AU,1603730320,75,-17.53,146.03,23.68,1.45
168,bethel,90,US,1603729812,87,41.37,-73.41,10.0,2.6
169,tartagal,75,AR,1603729867,57,-22.52,-63.8,26.0,7.7
170,gracac,20,HR,1603730321,77,44.3,15.85,17.78,7.2
171,turayf,0,SA,1603730321,20,31.67,38.66,25.0,6.2
172,puerto ayora,75,EC,1603729746,78,-0.74,-90.35,23.0,6.7
173,luderitz,0,NA,1603729787,68,-26.65,15.16,17.96,11.92
174,nome,90,US,1603729758,80,64.5,-165.41,1.11,2.69
175,kavieng,86,PG,1603729828,68,-2.57,150.8,28.31,2.65
176,acari,62,PE,1603730322,38,-15.43,-74.62,25.93,4.69
177,pahalgam,0,IN,1603730322,54,34.03,75.33,5.51,1.62
178,kruisfontein,99,ZA,1603729795,89,-34.0,24.73,17.78,3.13
179,pingzhuang,0,CN,1603729829,55,42.04,119.29,6.0,4.8
180,devarkonda,0,IN,1603730323,77,16.7,78.93,23.07,1.61
181,yei,100,SS,1603730323,91,4.09,30.68,21.59,0.61
